symbol,ask,bid,previousClose,open,dividendYield,dividendPerShare,dividendPayDate,exDividendDate,tradeDate,lastTradeDate,lastTradeTime,earningPerShare,EPSEstimateCurrentYear,EPSEstimateNextYear,EPSEstimateNextQuarter,bookValue,EBITDA,priceSale,priceBook,pe,peg,peCurrentYear,peNextYear,shortRatio,revenue,holdingsValue,dayValueChange,holdingGainPercent,annualizedGain,holdingsGain,askSize,bidSize,lastTradeSize,averageDailyVolume,marketCapitalization,floatShares,name,sharesOwned,stockExchange,sharesOutstanding,commission,oneYearTargetPrice,
"TFSC",9.83,9.71,9.70,N/A,N/A,N/A,N/A,N/A,N/A,"8/6/2015","11:05am",-0.16,N/A,N/A,0.00,2.79,70.24M,0.13,3.48,N/A,0.00,N/A,N/A,11.50,139.04M,N/A,N/A,N/A,N/A,N/A,100,500,N/A,2588,17.93M,257306000,"1347 Capital Corp.",N/A,"NCM",1848000,N/A,N/A
"TFSCR",0.48,0.24,0.43,N/A,N/A,N/A,N/A,N/A,N/A,"7/30/2015","11:47am",N/A,N/A,N/A,0.00,0.00,0.00,N/A,N/A,N/A,0.00,N/A,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,200,2000,N/A,N/A,N/A,N/A,"1347 Capital Corp.",N/A,"NCM",N/A,N/A,N/A
"TFSCU",10.39,10.24,10.27,N/A,N/A,N/A,N/A,N/A,N/A,"7/30/2015","10:56am",N/A,N/A,N/A,0.00,0.00,0.00,N/A,N/A,N/A,0.00,N/A,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,100,200,N/A,231,N/A,N/A,"1347 Capital Corp.",N/A,"NCM",N/A,N/A,N/A
"TFSCW",0.250,0.200,0.235,N/A,N/A,N/A,N/A,N/A,N/A,"6/29/2015","1:52pm",N/A,N/A,N/A,0.000,0.000,0.00,N/A,N/A,N/A,0.000,N/A,N/A,0.000,N/A,N/A,N/A,N/A,N/A,N/A,5000,1000,N/A,N/A,N/A,N/A,"1347 Capital Corp.",N/A,"NCM",N/A,N/A,N/A
"PIH",7.85,7.78,7.66,7.65,N/A,N/A,N/A,N/A,N/A,"8/12/2015","3:58pm",-0.01,N/A,N/A,0.00,7.70,5.90M,2.30,0.99,N/A,0.00,N/A,N/A,0.10,21.19M,N/A,N/A,N/A,N/A,N/A,9500,400,100,16984,49.53M,5546000,"1347 Property Insurance Holding",N/A,"NGM",6358000,N/A,N/A
"FLWS",10.74,8.50,9.50,9.31,N/A,N/A,N/A,N/A,N/A,"8/12/2015","4:00pm",0.51,0.51,0.44,-0.21,3.34,94.69M,0.57,2.84,17.75,1.04,17.92,20.77,8.50,1.08B,N/A,N/A,N/A,N/A,N/A,100,100,2470,386698,596.49M,24810000,"1-800 FLOWERS.COM, Inc.",N/A,"NMS",65262000,N/A,13.30
"FCTY",7.50,7.40,7.50,7.41,N/A,N/A,N/A,N/A,N/A,"8/12/2015","4:00pm",0.20,0.28,0.51,0.11,6.51,0.00,3.51,1.15,37.05,0.00,26.46,14.53,1.60,20.60M,N/A,N/A,N/A,N/A,N/A,300,100,100,7189,71.40M,6448000,"1st Century Bancshares, Inc",N/A,"NCM",9636000,N/A,8.50
"FCCY",12.74,N/A,11.59,11.51,N/A,N/A,N/A,N/A,N/A,"8/12/2015","3:56pm",1.15,1.23,1.20,0.30,11.93,0.00,2.17,0.97,10.08,0.51,9.39,9.62,0.30,40.14M,N/A,N/A,N/A,N/A,N/A,300,N/A,142,5119,86.67M,5489000,"1st Constitution Bancorp (NJ)",N/A,"NGM",7504000,N/A,13.00
"SRCE",30.37,30.35,30.58,30.46,2.10,0.65,"8/14/2015","7/31/2015",N/A,"8/12/2015","4:00pm",2.23,2.20,2.35,0.54,21.92,0.00,3.65,1.40,13.64,2.00,13.80,12.92,5.50,241.65M,N/A,N/A,N/A,N/A,N/A,1100,100,616,40466,875.23M,16678000,"1st Source Corporation",N/A,"NMS",28819000,N/A,30.00
"VNET",20.75,N/A,20.68,20.35,N/A,N/A,N/A,N/A,N/A,"8/12/2015","4:00pm",-0.72,1.77,3.64,0.44,5.34,72.01M,3.42,3.87,N/A,3.58,11.36,5.52,2.20,507.30M,N/A,N/A,N/A,N/A,N/A,100,N/A,4428,1088350,1.69B,42193000,"21Vianet Group, Inc.",N/A,"NMS",83933000,N/A,152.86
"TWOU",N/A,36.00,36.74,36.74,N/A,N/A,N/A,N/A,N/A,"8/12/2015","4:00pm",-0.65,-0.40,-0.30,-0.01,1.94,-25.00M,11.84,18.91,N/A,-3.10,N/A,N/A,9.50,129.01M,N/A,N/A,N/A,N/A,N/A,N/A,500,4376,302091,1.53B,26856000,"2U, Inc.",N/A,"NMS",41592000,N/A,38.60
