symbol,ask,bid,previousClose,open,dividendYield,dividendPerShare,dividendPayDate,exDividendDate,tradeDate,lastTradeDate,lastTradeTime,earningPerShare,EPSEstimateCurrentYear,EPSEstimateNextYear,EPSEstimateNextQuarter,bookValue,EBITDA,priceSale,priceBook,pe,peg,peCurrentYear,peNextYear,shortRatio,revenue,holdingsValue,dayValueChange,holdingGainPercent,annualizedGain,holdingsGain,askSize,bidSize,lastTradeSize,averageDailyVolume,marketCapitalization,floatShares,name,sharesOwned,stockExchange,sharesOutstanding,commission,oneYearTargetPrice,
"UGLD",8.98,8.60,8.63,8.73,N/A,N/A,N/A,N/A,N/A,"9/10/2015","4:00pm",N/A,N/A,N/A,0.00,0.00,N/A,N/A,N/A,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1000,100,438,222447,N/A,N/A,"VS 3X GOLD",N/A,"PCX",N/A,N/A,N/A
"USLV",12.96,12.60,12.45,12.98,N/A,N/A,N/A,N/A,N/A,"9/10/2015","4:00pm",N/A,N/A,N/A,0.00,0.00,N/A,N/A,N/A,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,500,100,136,547634,N/A,N/A,"VS 3X SILVER",N/A,"PCX",N/A,N/A,N/A
"JOBS",31.62,22.37,27.02,26.87,N/A,N/A,N/A,N/A,N/A,"9/10/2015","3:59pm",1.46,1.57,1.83,0.43,10.22,91.52M,5.34,2.64,18.56,0.84,17.22,14.78,9.46,300.83M,N/A,N/A,N/A,N/A,N/A,100,200,100,191209,1.61B,20662000,"51job, Inc.",N/A,"NMS",59447000,N/A,34.83
"SIXD",N/A,N/A,3.00,2.98,N/A,N/A,N/A,N/A,N/A,"9/10/2015","3:42pm",-0.04,N/A,N/A,0.00,0.13,-2.22M,18.48,23.62,N/A,0.00,N/A,N/A,8.54,12.70M,N/A,N/A,N/A,N/A,N/A,N/A,N/A,100,216667,226.92M,54701000,"6D GLOBAL TECHNOLOGI",N/A,"NCM",78247000,N/A,N/A
"CAFD",16.45,13.48,14.10,14.28,N/A,N/A,N/A,N/A,N/A,"9/10/2015","4:00pm",-0.25,0.10,0.22,0.00,0.00,0.00,N/A,N/A,N/A,0.00,N/A,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,100,1500,5496,815181,N/A,N/A,N/A,N/A,"NMS",N/A,N/A,22.63
"EGHT",8.30,7.50,7.92,7.87,N/A,N/A,N/A,N/A,N/A,"9/10/2015","3:59pm",0.01,0.15,0.21,0.03,3.12,9.75M,4.07,2.54,787.00,2.85,52.47,37.48,5.54,172.39M,N/A,N/A,N/A,N/A,N/A,100,200,100,605620,697.27M,86083000,"8x8 Inc",N/A,"NMS",88598000,N/A,11.44
"AVHI",15.96,11.19,13.57,13.47,N/A,N/A,N/A,N/A,N/A,"9/10/2015","4:00pm",-0.33,0.08,0.90,0.35,12.49,8.48M,0.92,1.09,N/A,8.73,170.25,15.13,24.52,328.82M,N/A,N/A,N/A,N/A,N/A,100,100,1360,78783,304.26M,10918000,"A V Homes, Inc.",N/A,"NMS",22339000,N/A,19.50
"SHLM",34.61,29.15,32.21,32.10,2.54,0.82,"8/3/2015","7/13/2015",N/A,"9/10/2015","4:00pm",0.58,2.38,2.99,0.64,19.52,158.48M,0.40,1.65,54.42,0.83,13.35,10.63,4.97,2.35B,N/A,N/A,N/A,N/A,N/A,100,100,10616,180664,928.55M,28478000,"A. Schulman, Inc.",N/A,"NMS",29218000,N/A,48.75
"AAON",20.49,20.01,20.00,19.98,1.12,0.22,"7/1/2015","6/10/2015",N/A,"9/10/2015","3:59pm",0.78,0.83,1.09,0.21,3.45,82.08M,3.06,5.79,25.49,2.01,23.95,18.24,14.54,354.69M,N/A,N/A,N/A,N/A,N/A,100,100,163,151078,1.08B,40769000,"AAON, Inc.",N/A,"NMS",54230000,N/A,23.00
"ABAX",52.58,44.29,48.43,48.37,0.93,0.44,"9/17/2015","9/1/2015",N/A,"9/10/2015","4:00pm",1.29,1.25,1.54,0.33,9.91,43.83M,5.20,4.89,37.55,1.88,38.81,31.50,16.47,211.63M,N/A,N/A,N/A,N/A,N/A,100,100,1984,172609,1.10B,21743000,"ABAXIS, Inc.",N/A,"NMS",22716000,N/A,63.57
