symbol,end_date,amend,period_focus,fiscal_year,doc_type,revenues,op_income,net_income,eps_basic,eps_diluted,dividend,assets,cur_assets,cur_liab,cash,equity,cash_flow_op,cash_flow_inv,cash_flow_fin
MATX,2013-03-31,False,Q1,2013,10-Q,394700000.0,18700000.0,9100000.0,0.21,0.21,0.15,1149200000.0,215400000.0,185800000.0,11000000.0,284100000.0,35000000.0,-14900000.0,-29000000.0
MTDR,2013-06-30,False,Q2,2013,10-Q,65959000.0,26905000.0,25119000.0,0.45,0.45,0.0,734711000.0,38810000.0,91738000.0,5105000.0,390025000.0,83912000.0,-175901000.0,94999000.0
MMS,2013-03-31,False,Q2,2013,10-Q,326351000.0,50735000.0,31689000.0,0.93,0.91,0.09,744360000.0,493562000.0,209841000.0,187343000.0,493191000.0,38940000.0,-18039000.0,-21866000.0
MMS,2013-09-30,False,FY,2013,10-K,1331279000.0,186208000.0,116731000.0,1.71,1.67,0.18,857978000.0,489599000.0,262307000.0,125617000.0,529508000.0,120938000.0,-129833000.0,-41862000.0
MATX,2013-06-30,False,Q2,2013,10-Q,416600000.0,36500000.0,20100000.0,0.47,0.47,0.15,1168500000.0,253700000.0,206100000.0,39100000.0,292400000.0,79500000.0,-16500000.0,-43800000.0
MATX,2013-09-30,False,Q3,2013,10-Q,415000000.0,27200000.0,17200000.0,0.4,0.4,0.16,1220200000.0,312100000.0,189300000.0,81800000.0,315600000.0,137800000.0,-25000000.0,-50900000.0
MXL,2013-03-31,False,Q1,2013,10-Q,26534000.0,-2202000.0,-2300000.0,-0.07,-0.07,0.0,112245000.0,86952000.0,30728000.0,17174000.0,80689000.0,801000.0,-5414000.0,-26000.0
MXL,2013-06-30,False,Q2,2013,10-Q,29773000.0,-2781000.0,-2904000.0,-0.09,-0.09,0.0,117653000.0,90826000.0,30803000.0,24718000.0,85947000.0,7006000.0,-4094000.0,-12000.0
MMS,2012-12-31,False,Q1,2013,10-Q,286266000.0,34018000.0,21316000.0,0.63,0.61,0.09,705905000.0,454231000.0,195714000.0,167138000.0,461706000.0,9626000.0,-10491000.0,-21071000.0
MATX,2012-12-31,False,FY,2012,10-K,1560000000.0,96700000.0,45900000.0,1.09,1.08,0.93,1174300000.0,234100000.0,193400000.0,19900000.0,279900000.0,94000000.0,-6300000.0,-74500000.0
MTDR,2013-09-30,False,Q3,2013,10-Q,71376000.0,24640000.0,20105000.0,0.35,0.35,0.0,795820000.0,43691000.0,85935000.0,6330000.0,552666000.0,127192000.0,-260084000.0,137127000.0
MA,2013-03-31,False,Q1,2013,10-Q,1906000000.0,1107000000.0,766000000.0,6.25,6.23,0.6,11809000000.0,8783000000.0,4414000000.0,1984000000.0,6756000000.0,872000000.0,-107000000.0,-783000000.0
MNI,2012-12-30,True,FY,2012,10-K,1309639000.0,186136000.0,-144000.0,,,0.0,3005131000.0,375977000.0,291325000.0,113088000.0,42501000.0,52925000.0,-18641000.0,-7216000.0
MNI,2013-09-29,False,Q3,2013,10-Q,293610000.0,27571000.0,7265000.0,0.08,0.08,0.0,2608386000.0,249321000.0,208425000.0,45431000.0,60259000.0,114619000.0,-15293000.0,-166983000.0
MNI,2013-06-30,False,Q2,2013,10-Q,308789000.0,31461000.0,11752000.0,0.14,0.14,0.0,2600441000.0,223051000.0,193947000.0,21780000.0,48542000.0,80892000.0,-16897000.0,-155303000.0
MNI,2013-03-31,False,Q1,2013,10-Q,295109000.0,20598000.0,-12741000.0,-0.15,-0.15,0.0,2845160000.0,228119000.0,210551000.0,17634000.0,32833000.0,63412000.0,-3440000.0,-155426000.0
MKC,2013-02-28,False,Q1,2013,10-Q,934400000.0,112000000.0,76000000.0,0.57,0.57,0.34,4086100000.0,1211500000.0,1115500000.0,68600000.0,1724800000.0,31600000.0,-11300000.0,-34400000.0
MXL,2012-12-31,False,FY,2012,10-K,97728000.0,-12908000.0,-13252000.0,-0.4,-0.4,0.0,110597000.0,98018000.0,29568000.0,21810000.0,80233000.0,7544000.0,-4191000.0,-9577000.0
MNI,2012-12-30,False,FY,2012,10-K,1230724000.0,186136000.0,-144000.0,,,0.0,3005131000.0,375977000.0,291325000.0,113088000.0,42501000.0,52925000.0,-18641000.0,-7216000.0
MKC,2013-05-31,False,Q2,2013,10-Q,1002600000.0,116000000.0,78600000.0,0.6,0.59,0.34,4208800000.0,1217500000.0,1226200000.0,72100000.0,1733700000.0,132700000.0,-149400000.0,5600000.0
MTDR,2012-12-31,False,FY,2012,10-K,165156000.0,-33428000.0,-33261000.0,-0.97,-0.97,0.0,632029000.0,38197000.0,96492000.0,2095000.0,379104000.0,124228000.0,-306916000.0,174499000.0
MKC,2012-11-30,False,FY,2012,10-K,4014200000.0,578300000.0,407800000.0,3.07,3.04,1.24,4165400000.0,1285400000.0,1187600000.0,79000000.0,1700200000.0,455000000.0,-109000000.0,-324300000.0
MA,2012-12-31,False,FY,2012,10-K,7391000000.0,3937000000.0,2759000000.0,22.02,21.94,1.2,12462000000.0,9357000000.0,4906000000.0,2052000000.0,6929000000.0,2948000000.0,-2839000000.0,-1798000000.0
MKC,2013-08-31,False,Q3,2013,10-Q,1016400000.0,148400000.0,104400000.0,0.79,0.78,0.34,4353000000.0,1370900000.0,1054300000.0,146800000.0,1797500000.0,227400000.0,-182000000.0,18900000.0
MTZ,2012-12-31,False,FY,2012,10-K,3726789000.0,,107426000.0,1.37,1.31,0.0,2407934000.0,1047068000.0,705702000.0,26382000.0,861935000.0,172135000.0,-127995000.0,-37744000.0
MBI,2013-03-31,False,Q1,2013,10-Q,219000000.0,,164000000.0,0.84,0.84,0.0,21592000000.0,,,934000000.0,3309000000.0,-78000000.0,323000000.0,-301000000.0
MBI,2013-09-30,False,Q3,2013,10-Q,420000000.0,,132000000.0,0.68,0.67,0.0,17633000000.0,,,1103000000.0,3201000000.0,1033000000.0,297000000.0,-1224000000.0
MBI,2012-12-31,False,FY,2012,10-K,2435000000.0,,1234000000.0,6.36,6.33,0.0,21724000000.0,,,990000000.0,3194000000.0,-1027000000.0,4195000000.0,-2811000000.0
MBI,2013-06-30,False,Q2,2013,10-Q,112000000.0,,-178000000.0,-0.92,-0.92,0.0,18122000000.0,,,1006000000.0,3037000000.0,1171000000.0,-253000000.0,-902000000.0
MTRN,2013-09-27,False,Q3,2013,10-Q,1189000.0,5982000.0,5123000.0,0.25,0.24,0.08,805998000.0,401502000.0,118224000.0,20157000.0,437278000.0,38515000.0,-24194000.0,-9872000.0
MTRN,2013-06-28,False,Q2,2013,10-Q,306141000.0,13390000.0,8909000.0,0.43,0.43,0.08,803497000.0,392686000.0,112435000.0,15726000.0,430776000.0,18120000.0,-17318000.0,-693000.0
MTRN,2012-12-31,False,FY,2012,10-K,1273078000.0,36776000.0,24664000.0,1.21,1.19,0.225,814917000.0,400989000.0,149067000.0,16056000.0,414995000.0,38620000.0,-43363000.0,8503000.0
MTRN,2013-03-29,False,Q1,2013,10-Q,299169000.0,9522000.0,6785000.0,0.33,0.33,0.075,812400000.0,398993000.0,122295000.0,20242000.0,421108000.0,-4766000.0,-9647000.0,18960000.0
MLP,2013-09-30,False,Q3,2013,10-Q,2834000.0,-910000.0,-1564000.0,-0.08,-0.08,0.0,56668000.0,4253000.0,59011000.0,420000.0,-35956000.0,-4941000.0,3660000.0,872000.0
MLP,2013-03-31,False,Q1,2013,10-Q,3353000.0,-1113000.0,-1815000.0,-0.1,-0.1,0.0,60840000.0,4944000.0,14473000.0,457000.0,-35845000.0,-1759000.0,-43000.0,1430000.0
MXL,2013-09-30,False,Q3,2013,10-Q,31765000.0,-4698000.0,-4882000.0,-0.14,-0.14,0.0,120182000.0,92646000.0,34617000.0,26500000.0,84648000.0,10067000.0,-5388000.0,-2000.0
