symbol,end_date,amend,period_focus,fiscal_year,doc_type,revenues,op_income,net_income,eps_basic,eps_diluted,dividend,assets,cur_assets,cur_liab,cash,equity,cash_flow_op,cash_flow_inv,cash_flow_fin
COSI,2011-06-27,False,Q2,2011,10-Q,26113000.0,-646000.0,-634000.0,-0.01,-0.01,0.0,27044000.0,11413000.0,11763000.0,8280000.0,9163000.0,-1344000.0,-683000.0,
COSI,2011-09-26,False,Q3,2011,10-Q,24468000.0,-1501000.0,-1491000.0,-0.03,-0.03,0.0,25684000.0,10690000.0,12178000.0,8106000.0,7740000.0,-1077000.0,-1124000.0,
CSOD,2011-06-30,False,Q2,2011,10-Q,14870000.0,-7152000.0,-7074000.0,-0.15,-0.15,0.0,117407000.0,108939000.0,46117000.0,48658000.0,67556000.0,-3596000.0,-36210000.0,81397000.0
CSOD,2011-09-30,False,Q3,2011,10-Q,20019000.0,-2992000.0,-4277000.0,-0.09,-0.09,0.0,119788000.0,110892000.0,51100000.0,64375000.0,64861000.0,-3040000.0,-20144000.0,80637000.0
CSGS,2011-06-30,False,Q2,2011,10-Q,181312000.0,22371000.0,9015000.0,0.27,0.27,0.0,800021000.0,379779000.0,182990000.0,114355000.0,267332000.0,-1176000.0,-17808000.0,-67660000.0
CSGS,2011-09-30,False,Q3,2011,10-Q,182753000.0,22767000.0,10479000.0,0.32,0.32,0.0,787494000.0,380578000.0,173423000.0,124160000.0,265559000.0,29134000.0,-23031000.0,-79110000.0
CRWS,2011-07-03,False,Q1,2012,10-Q,17499000.0,933000.0,530000.0,0.06,0.05,0.03,44061000.0,34046000.0,11984000.0,11000.0,31650000.0,4173000.0,-75000.0,-4292000.0
CRWS,2011-10-02,False,Q2,2012,10-Q,21319000.0,1793000.0,1067000.0,0.11,0.11,0.03,42894000.0,33150000.0,9138000.0,117000.0,32581000.0,5887000.0,-146000.0,-5829000.0
CRWN,2011-09-30,False,Q3,2011,10-Q,74048000.0,22152000.0,163204000.0,0.45,0.45,0.0,935634000.0,222398000.0,166016000.0,21002000.0,217741000.0,26007000.0,-824000.0,-34746000.0
CRWN,2011-06-30,False,Q2,2011,10-Q,76150000.0,23499000.0,12051000.0,0.03,0.03,0.0,727885000.0,199708000.0,166189000.0,7074000.0,-89590000.0,14130000.0,-701000.0,-36920000.0
CRDS,2011-07-31,False,Q3,2011,10-Q,2577000.0,-2644000.0,-2673000.0,-0.25,-0.25,0.0,14696000.0,13213000.0,6280000.0,4591000.0,8289000.0,-3498000.0,-5931000.0,62000.0
